source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2026-05-23T00:05:00Z,NPSHYD,253.000,2026-05-23T00:10:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:05:00Z,NUCLEAR,2131.000,2026-05-23T00:10:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:05:00Z,OCGT,0.000,2026-05-23T00:10:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:05:00Z,OIL,0.000,2026-05-23T00:10:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:05:00Z,OTHER,604.000,2026-05-23T00:10:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:05:00Z,PS,284.000,2026-05-23T00:10:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:05:00Z,WIND,9090.000,2026-05-23T00:10:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,BIOMASS,1666.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,CCGT,4534.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,COAL,0.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTELEC,998.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTEW,0.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTFR,1509.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTGRNL,-514.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTIFA2,991.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTIRL,-450.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTNED,-300.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTNEM,-70.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTNSL,1397.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
Elexon BMRS FUELINST,2026-05-23T00:10:00Z,INTVKL,0.000,2026-05-23T00:15:00Z,2026-06-06T23:14:18.520242Z
